scenario_id,condition,repeat_id,js_to_reference,js_to_canonical,baseline_js,delta_js_vs_canonical
20260811-036,equiv-prose,0,0.027331939529370235,0.00047515119387982977,0.03385235688050731,-0.006520417351137078
20260811-037,equiv-evidence-first,1,0.0012096111431087896,3.210041589429033e-06,0.0013324290326646403,-0.00012281788955585075
20260811-037,equiv-prose,0,0.00108205863613208,1.4264069551203773e-05,0.0013324290326646403,-0.00025037039653256024
20260811-037,equiv-evidence-first,0,0.0012980894162729674,2.473029123121311e-07,0.0013324290326646403,-3.433961639167293e-05
20260811-036,equiv-prose,1,0.026860244707967735,0.0005013951270592609,0.03385235688050731,-0.006992112172539578
20260811-036,ablate-prior,1,0.022406668457600948,0.00308494327447682,0.03385235688050731,-0.011445688422906365
20260811-037,ablate-definitions,0,0.003206203042943381,0.00046909037123876794,0.0013324290326646403,0.0018737740102787407
20260811-036,ablate-definitions,1,0.1999265305563323,0.08912045933885812,0.03385235688050731,0.166074173675825
20260811-037,ablate-definitions,1,0.005243055075099578,0.0015041404965474682,0.0013324290326646403,0.003910626042434938
20260811-036,ablate-evidence,1,0.4053982984709221,0.2572648827283996,0.03385235688050731,0.3715459415904148
20260811-036,ablate-definitions,0,0.18311904718659586,0.0764715047905273,0.03385235688050731,0.14926669030608855
20260811-036,ablate-prior,0,0.02316994546271907,0.0052079808405466775,0.03385235688050731,-0.010682411417788244
20260811-037,equiv-prose,1,0.00047281996719040977,0.0002365589635465688,0.0013324290326646403,-0.0008596090654742305
20260811-036,equiv-evidence-first,0,0.11007633348240858,0.03450476274110016,0.03385235688050731,0.07622397660190128
20260811-036,equiv-evidence-first,1,0.08498809579176046,0.019069106261870555,0.03385235688050731,0.05113573891125315
20260811-038,equiv-evidence-first,1,0.18835668889497342,0.0071352380384051475,0.12832314570357126,0.06003354319140217
20260811-038,ablate-definitions,0,0.31188172415078574,0.05054359491537271,0.12832314570357126,0.1835585784472145
20260811-038,equiv-prose,0,0.11808379291941185,0.0002420417589545011,0.12832314570357126,-0.010239352784159411
20260811-037,ablate-evidence,0,0.05582350235504088,0.045474736263817254,0.0013324290326646403,0.054491073322376245
20260811-037,ablate-evidence,1,0.0542434626713969,0.043987816682397166,0.0013324290326646403,0.052911033638732265
20260811-036,ablate-evidence,0,0.4732567727635292,0.3165669358703719,0.03385235688050731,0.43940441588302187
20260811-038,equiv-evidence-first,0,0.17633586997929585,0.0047373428807691055,0.12832314570357126,0.04801272427572459
20260811-037,ablate-prior,1,0.00021224286733231287,0.0005117396157585391,0.0013324290326646403,-0.0011201861653323275
20260811-038,ablate-prior,0,0.08883660182473808,0.004171698661991154,0.12832314570357126,-0.03948654387883317
20260811-039,equiv-evidence-first,0,0.0012096111431087896,2.632695394747141e-06,0.0013186544133766207,-0.00010904327026783119
20260811-039,equiv-evidence-first,1,0.0012096111431087896,2.632695394747141e-06,0.0013186544133766207,-0.00010904327026783119
20260811-038,ablate-evidence,0,0.43279868032245883,0.11666966603812162,0.12832314570357126,0.30447553461888754
20260811-038,ablate-definitions,1,0.31637794095112726,0.05264122242974936,0.12832314570357126,0.188054795247556
20260811-038,equiv-prose,1,0.12340800670874137,6.260849480166833e-05,0.12832314570357126,-0.004915138994829885
20260811-038,ablate-evidence,1,0.393573061864009,0.0931265018662101,0.12832314570357126,0.2652499161604377
20260811-039,equiv-prose,1,0.0003362045008372393,0.0003489629224606561,0.0013186544133766207,-0.0009824499125393816
20260811-039,equiv-prose,0,0.0003498866121836036,0.00033514245071200984,0.0013186544133766207,-0.0009687678011930171
20260811-039,ablate-definitions,0,0.0046738089657145775,0.0011941580242994403,0.0013186544133766207,0.0033551545523379566
20260811-040,equiv-evidence-first,0,0.001299638589267313,9.305048483089837e-06,0.0011042264933460646,0.00019541209592124843
20260811-040,equiv-evidence-first,1,0.0018381106621166462,0.00010649358715046319,0.0011042264933460646,0.0007338841687705817
20260811-038,ablate-prior,1,0.09142515672985149,0.003611607031270076,0.12832314570357126,-0.036897988973719764
20260811-039,ablate-definitions,1,0.004224229988291664,0.0009546899412475042,0.0013186544133766207,0.002905575574915043
20260811-039,ablate-prior,0,0.000919236573235636,3.991643675009735e-05,0.0013186544133766207,-0.0003994178401409848
20260811-039,ablate-evidence,0,0.027934096969244374,0.01979883278449433,0.0013186544133766207,0.026615442555867754
20260811-037,ablate-prior,0,0.000919236573235636,4.207412071361096e-05,0.0013324290326646403,-0.00041319245942900433
20260811-039,ablate-evidence,1,0.027934096969244374,0.01979883278449433,0.0013186544133766207,0.026615442555867754
20260811-040,equiv-prose,0,0.0008281296895488281,2.1322028905460765e-05,0.0011042264933460646,-0.00027609680379723643
20260811-040,ablate-definitions,0,0.005026655008318198,0.0016419053254184772,0.0011042264933460646,0.003922428514972134
20260811-039,ablate-prior,1,0.0007020949657262431,0.000106267331344841,0.0013186544133766207,-0.0006165594476503776
20260811-040,equiv-prose,1,0.0006881131209199303,5.292057214352241e-05,0.0011042264933460646,-0.0004161133724261343
20260811-040,ablate-definitions,1,0.004647259424637455,0.001411660670184603,0.0011042264933460646,0.003543032931291391
20260811-040,ablate-prior,0,0.0001555574004578788,0.0004527776161373884,0.0011042264933460646,-0.0009486690928881857
20260811-040,ablate-evidence,0,0.030238608416361685,0.022654731332244472,0.0011042264933460646,0.02913438192301562
20260811-041,equiv-prose,0,0.0003971186157692142,2.741387781698861e-05,0.0006390583258926477,-0.00024193971012343346
20260811-040,ablate-evidence,1,0.03257007705788409,0.02478670885516766,0.0011042264933460646,0.031465850564538024
20260811-041,equiv-evidence-first,0,0.0005787992180806503,1.0998463564404705e-06,0.0006390583258926477,-6.02591078119974e-05
20260811-041,equiv-evidence-first,1,0.0006098892528581077,1.6017374415440194e-07,0.0006390583258926477,-2.916907303454001e-05
20260811-041,equiv-prose,1,0.0004946729339189961,8.380168979035453e-06,0.0006390583258926477,-0.00014438539197365158
20260811-042,equiv-evidence-first,0,0.010388679056748,0.007027291473797297,0.0006252982411637843,0.009763380815584215
20260811-041,ablate-definitions,1,0.000219411484600525,0.0015673021760008888,0.0006390583258926477,-0.0004196468412921227
20260811-041,ablate-prior,0,0.000259921090926349,0.0016691315936738444,0.0006390583258926477,-0.0003791372349662987
20260811-040,ablate-prior,1,0.000428363407941031,0.00016872897516774147,0.0011042264933460646,-0.0006758630854050336
20260811-041,ablate-evidence,0,0.017622444945738003,0.023532240456993488,0.0006390583258926477,0.016983386619845355
20260811-041,ablate-evidence,1,0.017622444945738003,0.023532240456993488,0.0006390583258926477,0.016983386619845355
20260811-042,equiv-prose,0,0.004309170637875825,0.002226428673710655,0.0006252982411637843,0.003683872396712041
20260811-041,ablate-definitions,0,1.7908788433492593e-06,0.0006969345289488005,0.0006390583258926477,-0.0006372674470492985
20260811-042,equiv-evidence-first,1,0.018561801259025575,0.014099606424390444,0.0006252982411637843,0.01793650301786179
20260811-041,ablate-prior,1,0.0001701780044527969,0.0014331991800885801,0.0006390583258926477,-0.0004688803214398508
20260811-042,equiv-prose,1,0.00037075033350289055,7.087395076506856e-07,0.0006252982411637843,-0.00025454790766089375
20260811-042,ablate-definitions,1,0.005032966535265292,0.0027513494318630763,0.0006252982411637843,0.004407668294101508
20260811-042,ablate-definitions,0,0.008947626818605985,0.005833064311182159,0.0006252982411637843,0.0083223285774422
20260811-042,ablate-prior,0,9.637794201436479e-05,0.00011564487416124947,0.0006252982411637843,-0.0005289202991494195
20260811-042,ablate-prior,1,5.534863983822232e-05,0.0005602540524124225,0.0006252982411637843,-0.000569949601325562
20260811-043,equiv-prose,1,0.07021359042972287,0.0007551841722822363,0.05809076079510689,0.012122829634615986
20260811-043,equiv-prose,0,0.08579440576964012,0.003180814692884836,0.05809076079510689,0.02770364497453323
20260811-043,equiv-evidence-first,1,0.10660207848105727,0.008429635079810965,0.05809076079510689,0.04851131768595038
20260811-042,ablate-evidence,0,0.0013299221711485566,0.00030634609720085466,0.0006252982411637843,0.0007046239299847723
20260811-043,equiv-evidence-first,0,0.05669572721792549,7.993545898209669e-05,0.05809076079510689,-0.0013950335771813968
20260811-043,ablate-definitions,0,0.03250494028043679,0.010753078647708749,0.05809076079510689,-0.0255858205146701
20260811-043,ablate-definitions,1,0.025244502400024488,0.02215603118317323,0.05809076079510689,-0.0328462583950824
20260811-043,ablate-evidence,0,0.3070605425061119,0.11440007484212461,0.05809076079510689,0.24896978171100503
20260811-043,ablate-prior,0,0.025522186975881076,0.006573680362514926,0.05809076079510689,-0.032568573819225816
20260811-080,equiv-evidence-first,1,0.032579709006034165,0.03008428134270924,0.004249473749263195,0.028330235256770968
20260811-080,equiv-evidence-first,0,0.030103197013536486,0.027132329839622476,0.004249473749263195,0.025853723264273293
20260811-043,ablate-evidence,1,0.24991685685391582,0.07735734039834448,0.05809076079510689,0.19182609605880893
20260811-043,ablate-prior,1,0.062147160658822614,0.0001243327851853073,0.05809076079510689,0.004056399863715726
20260811-042,ablate-evidence,1,0.0033314131537764803,0.00568625275041053,0.0006252982411637843,0.0027061149126126963
20260811-080,equiv-prose,0,0.002758663576968844,0.003768001895150766,0.004249473749263195,-0.001490810172294351
20260811-080,equiv-prose,1,0.00806235157898061,0.008796513383317831,0.004249473749263195,0.0038128778297174155
20260811-081,equiv-evidence-first,0,0.039095223233998624,0.27111138296658793,0.1876642143417646,-0.148568991107766
20260811-080,ablate-definitions,0,0.01722772800643338,0.03052298171845052,0.004249473749263195,0.012978254257170184
20260811-081,equiv-prose,0,0.11256459853893118,0.011165572316275824,0.1876642143417646,-0.07509961580283343
20260811-081,equiv-evidence-first,1,0.05071455890663093,0.29368745799141993,0.1876642143417646,-0.13694965543513368
20260811-080,ablate-definitions,1,0.01761543417038143,0.03111398718373376,0.004249473749263195,0.013365960421118235
20260811-080,ablate-evidence,1,0.3960987481015244,0.4234721118028175,0.004249473749263195,0.3918492743522612
20260811-080,ablate-evidence,0,0.4008022881568215,0.42835608581448353,0.004249473749263195,0.3965528144075583
20260811-081,ablate-definitions,0,0.024225318367282582,0.14801249860936028,0.1876642143417646,-0.16343889597448202
20260811-081,equiv-prose,1,0.09336425327454097,0.019231318580159598,0.1876642143417646,-0.09429996106722364
20260811-080,ablate-prior,1,0.008349466634753439,0.012920310021687021,0.004249473749263195,0.004099992885490244
20260811-080,ablate-prior,0,0.008195105302133151,0.01239808319927636,0.004249473749263195,0.003945631552869956
20260811-082,equiv-evidence-first,0,0.09831679142317928,0.0045853078330573924,0.06322778987328595,0.035089001549893334
20260811-082,equiv-prose,1,0.05371362600861639,0.0004251670544169347,0.06322778987328595,-0.009514163864669557
20260811-082,equiv-evidence-first,1,0.096611145899613,0.0041851463889689975,0.06322778987328595,0.033383356026327055
20260811-082,ablate-definitions,0,0.07705861114214907,0.0007841440693315816,0.06322778987328595,0.01383082126886312
20260811-081,ablate-prior,0,0.2226499373889009,0.0019719267697958075,0.1876642143417646,0.03498572304713629
20260811-082,equiv-prose,0,0.0732000273502462,0.00042777401836472013,0.06322778987328595,0.009972237476960244
20260811-081,ablate-prior,1,0.2226499373889009,0.0019719267697958075,0.1876642143417646,0.03498572304713629
20260811-081,ablate-evidence,0,0.5191549093721428,0.5787330618082044,0.1876642143417646,0.3314906950303782
20260811-082,ablate-definitions,1,0.08025175700699208,0.001166927164686236,0.06322778987328595,0.01702396713370613
20260811-081,ablate-evidence,1,0.5142867117577028,0.5761526937212844,0.1876642143417646,0.3266224974159382
20260811-083,equiv-evidence-first,1,0.1989641985110574,0.05064697060728063,0.06114434949478296,0.13781984901627445
20260811-083,equiv-prose,1,0.14582254450966614,0.02293837811575846,0.06114434949478296,0.08467819501488319
20260811-082,ablate-prior,0,0.0592102954497002,7.568628384834893e-05,0.06322778987328595,-0.004017494423585753
20260811-083,ablate-definitions,0,0.1606650277717103,0.039652530616135655,0.06114434949478296,0.09952067827692734
20260811-083,equiv-prose,0,0.13800496431645126,0.019429639062081352,0.06114434949478296,0.07686061482166831
